QueryNumber;[DocRanking, DocNumber, Similarity]
00001;[138, 434, 0.3733306409410602]
00001;[139, 835, 0.3733306409410602]
00001;[140, 322, 0.3733306409410602]
00001;[141, 765, 0.3733306409410602]
00001;[142, 327, 0.37228539183166215]
00001;[143, 739, 0.3712401427222641]
00001;[144, 437, 0.370194893612866]
00001;[145, 135, 0.370194893612866]
00001;[146, 784, 0.370194893612866]
00001;[147, 332, 0.370194893612866]
00001;[148, 412, 0.36914964450346793]
00001;[149, 237, 0.36914964450346793]
00001;[150, 701, 0.36810439539406986]
00001;[151, 110, 0.36810439539406986]
00001;[152, 881, 0.3670591462846718]
00001;[153, 570, 0.3670591462846718]
00001;[154, 140, 0.3660138971752737]
00001;[155, 152, 0.3660138971752737]
00001;[156, 176, 0.3655081250900558]
00001;[157, 772, 0.36496864806587564]
00001;[158, 935, 0.36496864806587564]
00001;[159, 496, 0.3623723777618616]
00001;[160, 573, 0.3613271286524635]
00001;[161, 107, 0.3587308583484495]
00001;[162, 86, 0.3581913813242693]
00001;[163, 245, 0.35714613221487124]
00001;[164, 312, 0.35714613221487124]
00001;[165, 235, 0.3545498619108572]
00001;[166, 143, 0.354010384886677]
00001;[167, 1199, 0.34932361636386683]
00001;[168, 589, 0.3461878690356726]
00001;[169, 574, 0.34514261992627454]
00001;[170, 1064, 0.34514261992627454]
00001;[171, 1156, 0.33850871861039433]
00001;[172, 559, 0.3364182203915982]
00001;[173, 8, 0.3311919748446078]
00001;[174, 658, 0.3311919748446078]
00001;[175, 202, 0.32805622751641356]
00001;[176, 1186, 0.32805622751641356]
00001;[177, 483, 0.3270109784070155]
00001;[178, 203, 0.3259657292976174]
00001;[179, 315, 0.3259657292976174]
00001;[180, 197, 0.3259657292976174]
00001;[181, 945, 0.32492048018821934]
00001;[182, 239, 0.32492048018821934]
00001;[183, 999, 0.32492048018821934]
00001;[184, 18, 0.32492048018821934]
00001;[185, 733, 0.32387523107882127]
00001;[186, 538, 0.32387523107882127]
00001;[187, 617, 0.32387523107882127]
00001;[188, 854, 0.3228299819694232]
00001;[189, 822, 0.3228299819694232]
00001;[190, 79, 0.3228299819694232]
00001;[191, 117, 0.3228299819694232]
00001;[192, 973, 0.3228299819694232]
00001;[193, 450, 0.3228299819694232]
00001;[194, 257, 0.3228299819694232]
00001;[195, 1122, 0.3217847328600251]
00001;[196, 1065, 0.3217847328600251]
00001;[197, 1239, 0.3217847328600251]
00001;[198, 732, 0.32073948375062705]
00001;[199, 596, 0.32073948375062705]
00001;[200, 670, 0.32073948375062705]
00001;[201, 186, 0.32073948375062705]
00001;[202, 1100, 0.32073948375062705]
00001;[203, 1192, 0.32073948375062705]
00001;[204, 970, 0.319694234641229]
00001;[205, 687, 0.319694234641229]
00001;[206, 28, 0.319694234641229]
00001;[207, 848, 0.319694234641229]
00001;[208, 513, 0.319694234641229]
00001;[209, 607, 0.319694234641229]
00001;[210, 990, 0.319694234641229]
00001;[211, 845, 0.3186489855318309]
00001;[212, 837, 0.3186489855318309]
00001;[213, 1177, 0.3186489855318309]
00001;[214, 438, 0.3186489855318309]
00001;[215, 919, 0.3186489855318309]
00001;[216, 446, 0.3186489855318309]
00001;[217, 130, 0.3186489855318309]
00001;[218, 1171, 0.318143213446613]
00001;[219, 914, 0.31760373642243284]
00001;[220, 97, 0.31760373642243284]
00001;[221, 344, 0.31760373642243284]
00001;[222, 1179, 0.31760373642243284]
00001;[223, 78, 0.31760373642243284]
00001;[224, 942, 0.31760373642243284]
00001;[225, 201, 0.31709796433721493]
00001;[226, 427, 0.31655848731303476]
00001;[227, 210, 0.31655848731303476]
00001;[228, 171, 0.31655848731303476]
00001;[229, 451, 0.31605271522781686]
00001;[230, 660, 0.31605271522781686]
00001;[231, 33, 0.3155132382036367]
00001;[232, 182, 0.3155132382036367]
00001;[233, 1202, 0.3150074661184188]
00001;[234, 400, 0.3139622170090207]
00001;[235, 307, 0.31345644492380287]
00001;[236, 1209, 0.31291696789962264]
00001;[237, 112, 0.3118717187902246]
00001;[238, 1221, 0.3118717187902246]
00001;[239, 536, 0.3108264696808265]
00001;[240, 749, 0.3071849502674144]
00001;[241, 497, 0.3066454732432342]
00001;[242, 260, 0.3061397011580163]
00001;[243, 1228, 0.30455497502443807]
00001;[244, 753, 0.30455497502443807]
00001;[245, 956, 0.30404920293922016]
00001;[246, 528, 0.2998682065016279]
00001;[247, 333, 0.2990000277569182]
00001;[248, 572, 0.29777770828283173]
00001;[249, 380, 0.2946419609546375]
00001;[250, 268, 0.28123079289715097]
00001;[251, 453, 0.2770497964595587]
00001;[252, 643, 0.2760045473501606]
00001;[253, 7, 0.27495929824076254]
00001;[254, 776, 0.27391404913136447]
00001;[255, 281, 0.2728688000219664]
00001;[256, 65, 0.27077830180317025]
00001;[257, 818, 0.2697330526937722]
00001;[258, 805, 0.2697330526937722]
00001;[259, 895, 0.2697330526937722]
00001;[260, 67, 0.2697330526937722]
00001;[261, 771, 0.2697330526937722]
00001;[262, 345, 0.2692272806085543]
00001;[263, 326, 0.2686878035843741]
00001;[264, 879, 0.2686878035843741]
00001;[265, 121, 0.26764255447497604]
00001;[266, 976, 0.26764255447497604]
00001;[267, 256, 0.26659730536557796]
00001;[268, 951, 0.26659730536557796]
00001;[269, 328, 0.2655520562561799]
00001;[270, 126, 0.2655520562561799]
00001;[271, 223, 0.2655520562561799]
00001;[272, 1103, 0.2655520562561799]
00001;[273, 1121, 0.265046284170962]
00001;[274, 501, 0.2634615580373837]
00001;[275, 247, 0.2634615580373837]
00001;[276, 669, 0.2634615580373837]
00001;[277, 243, 0.2634615580373837]
00001;[278, 276, 0.2634615580373837]
00001;[279, 415, 0.26295578595216584]
00001;[280, 206, 0.2624163089279856]
00001;[281, 885, 0.2624163089279856]
00001;[282, 301, 0.2624163089279856]
00001;[283, 1076, 0.2624163089279856]
00001;[284, 423, 0.2624163089279856]
00001;[285, 313, 0.2624163089279856]
00001;[286, 702, 0.2624163089279856]
00001;[287, 47, 0.26137105981858755]
00001;[288, 479, 0.2603258107091895]
00001;[289, 667, 0.2598200386239716]
00001;[290, 521, 0.2598200386239716]
00001;[291, 1161, 0.2592805615997914]
00001;[292, 230, 0.25823531249039333]
00001;[293, 1196, 0.25823531249039333]
00001;[294, 783, 0.25823531249039333]
00001;[295, 454, 0.2561448142715972]
00001;[296, 1068, 0.2561448142715972]
00001;[297, 399, 0.2561448142715972]
00001;[298, 390, 0.25405431605280104]
00001;[299, 347, 0.2535485439675832]
00001;[300, 1236, 0.2525032948581851]
00001;[301, 401, 0.2525032948581851]
00001;[302, 1086, 0.25145804574878705]
00001;[303, 178, 0.250412796639389]
00001;[304, 161, 0.24727704931119474]
00001;[305, 1085, 0.24623180020179666]
00001;[306, 530, 0.24623180020179666]
00001;[307, 367, 0.23177538303491202]
00001;[308, 348, 0.2286396357067178]
00001;[309, 1139, 0.22654913748792166]
00001;[310, 1206, 0.22445863926912552]
00001;[311, 795, 0.22236814105032937]
00001;[312, 1146, 0.22236814105032937]
00001;[313, 1149, 0.22236814105032937]
00001;[314, 141, 0.2213228919409313]
00001;[315, 1034, 0.2213228919409313]
00001;[316, 447, 0.22027764283153323]
00001;[317, 386, 0.21818714461273708]
00001;[318, 844, 0.21818714461273708]
00001;[319, 248, 0.217141895503339]
00001;[320, 1000, 0.217141895503339]
00001;[321, 709, 0.217141895503339]
00001;[322, 610, 0.2160966463939409]
00001;[323, 1235, 0.2160966463939409]
00001;[324, 947, 0.21505139728454284]
00001;[325, 162, 0.21505139728454284]
00001;[326, 324, 0.21505139728454284]
00001;[327, 63, 0.21505139728454284]
00001;[328, 1042, 0.21400614817514477]
00001;[329, 874, 0.21400614817514477]
00001;[330, 103, 0.2129608990657467]
00001;[331, 153, 0.2129608990657467]
00001;[332, 48, 0.2129608990657467]
00001;[333, 444, 0.2129608990657467]
00001;[334, 350, 0.2129608990657467]
00001;[335, 131, 0.2129608990657467]
00001;[336, 1211, 0.2129608990657467]
00001;[337, 219, 0.21245512698052882]
00001;[338, 622, 0.21245512698052882]
00001;[339, 287, 0.21191564995634862]
00001;[340, 284, 0.21191564995634862]
00001;[341, 1205, 0.21191564995634862]
00001;[342, 810, 0.21191564995634862]
00001;[343, 637, 0.21191564995634862]
00001;[344, 705, 0.21191564995634862]
00001;[345, 330, 0.21191564995634862]
00001;[346, 675, 0.21140987787113075]
00001;[347, 137, 0.21140987787113075]
00001;[348, 623, 0.21087040084695055]
00001;[349, 391, 0.21087040084695055]
00001;[350, 1118, 0.21087040084695055]
00001;[351, 882, 0.21087040084695055]
00001;[352, 977, 0.20982515173755248]
00001;[353, 17, 0.20982515173755248]
00001;[354, 101, 0.20982515173755248]
00001;[355, 156, 0.20982515173755248]
00001;[356, 266, 0.20982515173755248]
00001;[357, 543, 0.20982515173755248]
00001;[358, 648, 0.20982515173755248]
00001;[359, 4, 0.2093193796523346]
00001;[360, 32, 0.2087799026281544]
00001;[361, 198, 0.2087799026281544]
00001;[362, 296, 0.20773465351875633]
00001;[363, 1056, 0.20773465351875633]
00001;[364, 439, 0.20773465351875633]
00001;[365, 456, 0.20668940440935826]
00001;[366, 1158, 0.20668940440935826]
00001;[367, 481, 0.2061836323241404]
00001;[368, 222, 0.2056441552999602]
00001;[369, 1104, 0.2056441552999602]
00001;[370, 59, 0.2056441552999602]
00001;[371, 782, 0.20513838321474231]
00001;[372, 766, 0.20513838321474231]
00001;[373, 564, 0.20304788499594614]
00001;[374, 310, 0.20304788499594614]
00001;[375, 961, 0.20200263588654807]
00001;[376, 51, 0.20095738677715]
00001;[377, 177, 0.20095738677715]
00001;[378, 953, 0.19991213766775193]
00001;[379, 232, 0.19991213766775193]
00001;[380, 1125, 0.19886688855835385]
00001;[381, 884, 0.19886688855835385]
00001;[382, 214, 0.19886688855835385]
00001;[383, 553, 0.19886688855835385]
00001;[384, 983, 0.19886688855835385]
00001;[385, 269, 0.19782163944895578]
00001;[386, 23, 0.19782163944895578]
00001;[387, 1051, 0.1967763903395577]
00001;[388, 918, 0.19468589212076157]
00001;[389, 1120, 0.1885914678290615]
00001;[390, 278, 0.18336522228207114]
00001;[391, 192, 0.17813897673508078]
00001;[392, 791, 0.17813897673508078]
00001;[393, 860, 0.17813897673508078]
00001;[394, 305, 0.1770937276256827]
00001;[395, 172, 0.1770937276256827]
00001;[396, 297, 0.17604847851628463]
00001;[397, 368, 0.17604847851628463]
00001;[398, 73, 0.17500322940688656]
00001;[399, 901, 0.17500322940688656]
00001;[400, 498, 0.1739579802974885]
00001;[401, 794, 0.1739579802974885]
00001;[402, 590, 0.1739579802974885]
00001;[403, 811, 0.17291273118809042]
00001;[404, 369, 0.17291273118809042]
00001;[405, 516, 0.17186748207869235]
00001;[406, 694, 0.17186748207869235]
00001;[407, 261, 0.17186748207869235]
00001;[408, 290, 0.17082223296929427]
00001;[409, 208, 0.17082223296929427]
00001;[410, 463, 0.17031646088407637]
00001;[411, 502, 0.1697769838598962]
00001;[412, 145, 0.1697769838598962]
00001;[413, 546, 0.1697769838598962]
00001;[414, 508, 0.1697769838598962]
00001;[415, 445, 0.1697769838598962]
00001;[416, 716, 0.1697769838598962]
00001;[417, 175, 0.1697769838598962]
00001;[418, 949, 0.1697769838598962]
00001;[419, 615, 0.1697769838598962]
00001;[420, 60, 0.1697769838598962]
00001;[421, 325, 0.1692712117746783]
00001;[422, 1175, 0.16873173475049813]
00001;[423, 1123, 0.16873173475049813]
00001;[424, 81, 0.16873173475049813]
00001;[425, 652, 0.16873173475049813]
00001;[426, 1041, 0.16873173475049813]
00001;[427, 189, 0.16768648564110003]
00001;[428, 703, 0.16768648564110003]
00001;[429, 1052, 0.16768648564110003]
00001;[430, 244, 0.16768648564110003]
00001;[431, 627, 0.16768648564110003]
00001;[432, 592, 0.16768648564110003]
00001;[433, 1079, 0.16768648564110003]
00001;[434, 1183, 0.16768648564110003]
00001;[435, 664, 0.16768648564110003]
00001;[436, 442, 0.16768648564110003]
00001;[437, 955, 0.16718071355588215]
00001;[438, 1070, 0.16664123653170196]
00001;[439, 785, 0.16664123653170196]
00001;[440, 58, 0.16664123653170196]
00001;[441, 1162, 0.16664123653170196]
00001;[442, 545, 0.16664123653170196]
00001;[443, 1108, 0.16664123653170196]
00001;[444, 69, 0.16664123653170196]
00001;[445, 625, 0.16664123653170196]
00001;[446, 277, 0.16664123653170196]
00001;[447, 220, 0.16664123653170196]
00001;[448, 417, 0.16664123653170196]
00001;[449, 915, 0.16664123653170196]
00001;[450, 1066, 0.1655959874223039]
00001;[451, 279, 0.1655959874223039]
00001;[452, 621, 0.1655959874223039]
00001;[453, 510, 0.1655959874223039]
00001;[454, 1093, 0.1655959874223039]
00001;[455, 1163, 0.1655959874223039]
00001;[456, 1135, 0.1655959874223039]
00001;[457, 503, 0.1655959874223039]
00001;[458, 378, 0.1655959874223039]
00001;[459, 1213, 0.1655959874223039]
00001;[460, 944, 0.1655959874223039]
00001;[461, 566, 0.1655959874223039]
00001;[462, 286, 0.1655959874223039]
00001;[463, 989, 0.165090215337086]
00001;[464, 12, 0.16455073831290581]
00001;[465, 1073, 0.16455073831290581]
00001;[466, 930, 0.16455073831290581]
00001;[467, 628, 0.16455073831290581]
00001;[468, 1114, 0.16455073831290581]
00001;[469, 1194, 0.16455073831290581]
00001;[470, 242, 0.16455073831290581]
00001;[471, 352, 0.16455073831290581]
00001;[472, 491, 0.16455073831290581]
00001;[473, 602, 0.16455073831290581]
00001;[474, 448, 0.16455073831290581]
00001;[475, 532, 0.16404496622768794]
00001;[476, 71, 0.16404496622768794]
00001;[477, 300, 0.16350548920350774]
00001;[478, 92, 0.16350548920350774]
00001;[479, 869, 0.16350548920350774]
00001;[480, 225, 0.16350548920350774]
00001;[481, 1138, 0.16350548920350774]
00001;[482, 980, 0.16350548920350774]
00001;[483, 1128, 0.16350548920350774]
00001;[484, 1001, 0.16350548920350774]
00001;[485, 323, 0.16350548920350774]
00001;[486, 389, 0.16350548920350774]
00001;[487, 39, 0.16350548920350774]
00001;[488, 478, 0.16350548920350774]
00001;[489, 1115, 0.16350548920350774]
00001;[490, 544, 0.16350548920350774]
00001;[491, 519, 0.16350548920350774]
00001;[492, 920, 0.16350548920350774]
00001;[493, 1039, 0.16350548920350774]
00001;[494, 15, 0.16350548920350774]
00001;[495, 748, 0.16299971711828987]
00001;[496, 500, 0.16246024009410967]
00001;[497, 38, 0.16246024009410967]
00001;[498, 1134, 0.16246024009410967]
00001;[499, 995, 0.16246024009410967]
00001;[500, 817, 0.16246024009410967]
00001;[501, 814, 0.16246024009410967]
00001;[502, 361, 0.16246024009410967]
00001;[503, 991, 0.16246024009410967]
00001;[504, 49, 0.16246024009410967]
00001;[505, 363, 0.16246024009410967]
00001;[506, 537, 0.16246024009410967]
00001;[507, 1019, 0.16246024009410967]
00001;[508, 994, 0.16246024009410967]
00001;[509, 224, 0.16246024009410967]
00001;[510, 1224, 0.1614149909847116]
00001;[511, 594, 0.1614149909847116]
00001;[512, 13, 0.1614149909847116]
00001;[513, 547, 0.1614149909847116]
00001;[514, 682, 0.1614149909847116]
00001;[515, 1045, 0.1614149909847116]
00001;[516, 997, 0.1614149909847116]
00001;[517, 183, 0.1614149909847116]
00001;[518, 471, 0.1614149909847116]
00001;[519, 723, 0.1614149909847116]
00001;[520, 120, 0.1614149909847116]
00001;[521, 775, 0.1614149909847116]
00001;[522, 489, 0.16036974187531353]
00001;[523, 1082, 0.16036974187531353]
00001;[524, 1011, 0.16036974187531353]
00001;[525, 654, 0.16036974187531353]
00001;[526, 1102, 0.16036974187531353]
00001;[527, 618, 0.16036974187531353]
00001;[528, 127, 0.16036974187531353]
00001;[529, 1072, 0.16036974187531353]
00001;[530, 1137, 0.16036974187531353]
00001;[531, 1129, 0.16036974187531353]
00001;[532, 157, 0.16036974187531353]
00001;[533, 1233, 0.16036974187531353]
00001;[534, 933, 0.16036974187531353]
00001;[535, 685, 0.16036974187531353]
00001;[536, 1029, 0.15986396979009565]
00001;[537, 969, 0.15986396979009565]
00001;[538, 978, 0.15986396979009565]
00001;[539, 1063, 0.15932449276591545]
00001;[540, 562, 0.15932449276591545]
00001;[541, 88, 0.15932449276591545]
00001;[542, 851, 0.15932449276591545]
00001;[543, 158, 0.15932449276591545]
00001;[544, 768, 0.15932449276591545]
00001;[545, 1013, 0.15932449276591545]
00001;[546, 488, 0.15932449276591545]
00001;[547, 799, 0.15932449276591545]
00001;[548, 428, 0.15932449276591545]
00001;[549, 403, 0.15932449276591545]
00001;[550, 764, 0.15932449276591545]
00001;[551, 907, 0.15932449276591545]
00001;[552, 353, 0.15932449276591545]
00001;[553, 663, 0.15827924365651738]
00001;[554, 68, 0.15827924365651738]
00001;[555, 82, 0.15827924365651738]
00001;[556, 1009, 0.15827924365651738]
00001;[557, 965, 0.15827924365651738]
00001;[558, 1222, 0.1577734715712995]
00001;[559, 778, 0.1577734715712995]
00001;[560, 833, 0.1572339945471193]
00001;[561, 893, 0.1572339945471193]
00001;[562, 1080, 0.1572339945471193]
00001;[563, 410, 0.15672822246190143]
00001;[564, 83, 0.15672822246190143]
00001;[565, 383, 0.15672822246190143]
00001;[566, 469, 0.15568297335250333]
00001;[567, 1210, 0.15568297335250333]
00001;[568, 319, 0.15568297335250333]
00001;[569, 1014, 0.15463772424310526]
00001;[570, 737, 0.15463772424310526]
00001;[571, 841, 0.1535924751337072]
00001;[572, 571, 0.1535924751337072]
00001;[573, 710, 0.1535924751337072]
00001;[574, 387, 0.15254722602430912]
00001;[575, 905, 0.15254722602430912]
00001;[576, 302, 0.15150197691491105]
00001;[577, 1053, 0.15150197691491105]
00001;[578, 1136, 0.15150197691491105]
00001;[579, 927, 0.15045672780551297]
00001;[580, 887, 0.15045672780551297]
00001;[581, 1027, 0.15045672780551297]
00001;[582, 717, 0.15045672780551297]
00001;[583, 604, 0.1494114786961149]
00001;[584, 707, 0.1494114786961149]
00001;[585, 409, 0.1494114786961149]
00001;[586, 166, 0.14836622958671683]
00001;[587, 231, 0.14836622958671683]
00001;[588, 1231, 0.14836622958671683]
00001;[589, 460, 0.14836622958671683]
00001;[590, 374, 0.14732098047731876]
00001;[591, 829, 0.14732098047731876]
00001;[592, 108, 0.14732098047731876]
00001;[593, 747, 0.14732098047731876]
00001;[594, 828, 0.14627573136792069]
00001;[595, 746, 0.12086105102183743]
00001;[596, 529, 0.11668005458424514]
00001;[597, 676, 0.11563480547484707]
00001;[598, 661, 0.11458955636544899]
00001;[599, 144, 0.11458955636544899]
00001;[600, 588, 0.11458955636544899]
00001;[601, 179, 0.11354430725605091]
00001;[602, 922, 0.11249905814665284]
00001;[603, 986, 0.11249905814665284]
00001;[604, 831, 0.11145380903725477]
00001;[605, 812, 0.11145380903725477]
00001;[606, 585, 0.11145380903725477]
00001;[607, 950, 0.1104085599278567]
00001;[608, 1002, 0.10936331081845863]
00001;[609, 125, 0.10831806170906055]
00001;[610, 981, 0.10831806170906055]
00001;[611, 1030, 0.10727281259966248]
00001;[612, 593, 0.10727281259966248]
00001;[613, 1021, 0.10727281259966248]
00001;[614, 548, 0.10727281259966248]
00001;[615, 755, 0.10622756349026441]
00001;[616, 80, 0.10622756349026441]
00001;[617, 842, 0.10622756349026441]
00001;[618, 864, 0.10622756349026441]
00001;[619, 524, 0.10622756349026441]
00001;[620, 213, 0.10518231438086634]
00001;[621, 608, 0.10518231438086634]
00001;[622, 583, 0.10518231438086634]
00001;[623, 819, 0.10518231438086634]
00001;[624, 514, 0.10518231438086634]
00001;[625, 963, 0.10518231438086634]
00001;[626, 640, 0.10518231438086634]
00001;[627, 375, 0.10518231438086634]
00001;[628, 743, 0.10518231438086634]
00001;[629, 1142, 0.10413706527146827]
00001;[630, 291, 0.10413706527146827]
00001;[631, 122, 0.10413706527146827]
00001;[632, 3, 0.10413706527146827]
00001;[633, 22, 0.10413706527146827]
00001;[634, 1204, 0.10413706527146827]
00001;[635, 525, 0.1030918161620702]
00001;[636, 626, 0.1030918161620702]
00001;[637, 138, 0.1030918161620702]
00001;[638, 154, 0.1030918161620702]
00001;[639, 555, 0.1030918161620702]
00001;[640, 972, 0.10204656705267211]
00001;[641, 85, 0.10204656705267211]
00001;[642, 61, 0.10204656705267211]
00001;[643, 523, 0.10204656705267211]
00001;[644, 142, 0.10204656705267211]
00001;[645, 407, 0.10204656705267211]
00001;[646, 265, 0.10204656705267211]
00001;[647, 499, 0.10100131794327404]
00001;[648, 929, 0.10100131794327404]
00001;[649, 311, 0.10100131794327404]
00001;[650, 996, 0.10100131794327404]
00001;[651, 1144, 0.10100131794327404]
00001;[652, 506, 0.09995606883387596]
00001;[653, 2, 0.09995606883387596]
00001;[654, 718, 0.09995606883387596]
00001;[655, 45, 0.09995606883387596]
00001;[656, 249, 0.09891081972447789]
00001;[657, 464, 0.09891081972447789]
00001;[658, 958, 0.09891081972447789]
00001;[659, 1010, 0.09891081972447789]
00001;[660, 418, 0.09786557061507982]
00001;[661, 187, 0.09786557061507982]
00001;[662, 1178, 0.09786557061507982]
00001;[663, 1230, 0.09786557061507982]
00001;[664, 1101, 0.09786557061507982]
00001;[665, 745, 0.08290338136297729]
00001;[666, 100, 0.06931514294080234]
00001;[667, 550, 0.06826989383140426]
00001;[668, 19, 0.06826989383140426]
00001;[669, 356, 0.06722464472200619]
00001;[670, 858, 0.06617939561260812]
00001;[671, 236, 0.06513414650321005]
00001;[672, 1167, 0.06513414650321005]
00001;[673, 584, 0.06408889739381197]
00001;[674, 744, 0.06408889739381197]
00001;[675, 6, 0.06408889739381197]
00001;[676, 98, 0.06408889739381197]
00001;[677, 452, 0.06408889739381197]
00001;[678, 1038, 0.0630436482844139]
00001;[679, 855, 0.0630436482844139]
00001;[680, 925, 0.0630436482844139]
00001;[681, 124, 0.0630436482844139]
00001;[682, 1028, 0.061998399175015824]
00001;[683, 754, 0.061998399175015824]
00001;[684, 740, 0.061998399175015824]
00001;[685, 902, 0.06095315006561775]
00001;[686, 430, 0.06095315006561775]
00001;[687, 674, 0.06095315006561775]
00001;[688, 190, 0.06095315006561775]
00001;[689, 194, 0.06095315006561775]
00001;[690, 798, 0.06095315006561775]
00001;[691, 1200, 0.06095315006561775]
